region,category,parameter,mode,powertrain,year,unit,value,value_scaled
0,0,4,1,1,2011,5,0.000390000001062,-0.06229737858412673
0,0,2,1,1,2011,5,0.00650000013411,-0.06229737769348566
0,0,1,1,0,2011,3,49.0,-0.06229023602042793
0,0,3,1,0,2011,3,49.0,-0.06229023602042793
0,0,3,1,0,2012,3,220.0,-0.06226530973239227
0,0,1,1,0,2012,3,170.0,-0.06227259812070679
0,0,2,1,1,2012,5,0.029999999329448,-0.06229737426794327
0,0,4,1,1,2012,5,0.002400000113994,-0.0622973782911335
0,0,3,1,3,2012,3,80.0,-0.06228571721967292
0,0,1,1,3,2012,3,80.0,-0.06228571721967292
0,0,1,1,3,2013,3,100.0,-0.06228280186434711
0,0,3,1,3,2013,3,180.0,-0.06227114044304388
0,0,4,1,1,2013,5,0.004600000102073,-0.06229737797044442
0,0,2,1,1,2013,5,0.034000001847744,-0.062297373684871836
0,0,1,1,0,2013,3,190.0,-0.06226968276538098
0,0,3,1,0,2013,3,410.0,-0.06223761385679709
0,0,3,1,0,2014,3,780.0,-0.062183679783269635
0,0,1,1,0,2014,3,370.0,-0.06224344456744871
0,0,2,1,1,2014,5,0.159999996423721,-0.06229735531813407
0,0,4,1,1,2014,5,0.014000000432134,-0.06229737660022737
0,0,3,1,3,2014,3,1100.0,-0.0621370340980567
0,0,1,1,3,2014,3,950.0,-0.062158899263000264
0,0,1,1,3,2015,3,1000.0,-0.06215161087468574
0,0,3,1,3,2015,3,2100.0,-0.06199126633176629
0,0,4,1,1,2015,5,0.027000000700355,-0.062297374705246364
0,0,2,1,1,2015,5,0.200000002980232,-0.062297349487422465
0,0,1,1,0,2015,3,760.0,-0.062186595138595445
0,0,3,1,0,2015,3,1500.0,-0.06207872699154054
0,0,3,1,0,2016,3,2200.0,-0.06197668955513725
0,0,1,1,0,2016,3,670.0,-0.06219971423756158
0,0,2,1,1,2016,5,0.150000005960464,-0.062297356775810345
0,0,4,1,1,2016,5,0.037000000476837,-0.06229737324756873
0,0,3,1,3,2016,3,2800.0,-0.061889228895363003
0,0,1,1,3,2016,3,700.0,-0.06219534120457287
0,0,1,1,3,2017,3,1100.0,-0.0621370340980567
0,0,3,1,3,2017,3,3900.0,-0.06172888435244355
0,0,4,1,1,2017,5,0.052000001072884,-0.062297371061052154
